SPL,SCD,DLK,None,None,None,None,None,None,None,None
SPM,MAY,AKY,None,None,None,None,None,None,None,None
SPT,SPK,LIB,None,None,None,None,None,None,None,None
SSM,RGH,WLN,FAY,None,None,None,None,None,None,None
STA,CVS,CLF,None,None,None,None,None,None,None,None
STL,ALN,KWD,ACD,None,None,None,None,None,None,None
STM,BRP,NRO,None,None,None,None,None,None,None,None
STN,WTN,MOT,None,None,None,None,None,None,None,None
STS,NHV,WFD,OSB,None,None,None,None,None,None,None
STW,MVW,EVR,LWA,None,None,None,None,None,None,None
SUI,FFV,MTZ,ACA,None,None,None,None,None,None,None
SVT,MKA,GLN,None,None,None,None,None,None,None,None
SYR,ROM,ROC,None,None,None,None,None,None,None,None
TAC,OLW,TUK,None,None,None,None,None,None,None,None
TAY,AUS,TPL,None,None,None,None,None,None,None,None
TCA,CSN,GNS,None,None,None,None,None,None,None,None
TCL,BHM,MEI,None,None,None,None,None,None,None,None
THN,MNG,PRC,None,None,None,None,None,None,None,None
TOH,WDL,LSE,None,None,None,None,None,None,None,None
TOL,SKY,BYN,None,None,None,None,None,None,None,None
TOP,NEW,LRC,None,None,None,None,None,None,None,None
TPA,LKL,None,None,None,None,None,None,None,None,None
TPL,MCG,TAY,None,None,None,None,None,None,None,None
TRE,PJC,CWH,None,None,None,None,None,None,None,None
TRI,LAJ,RAT,None,None,None,None,None,None,None,None
TRK,MCD,MOD,None,None,None,None,None,None,None,None
TRM,PNT,ROY,None,None,None,None,None,None,None,None
TRU,RNO,COX,None,None,None,None,None,None,None,None
TUK,SEA,TAC,None,None,None,None,None,None,None,None
TUS,BEN,MRC,None,None,None,None,None,None,None,None
TWO,OKL,None,None,None,None,None,None,None,None,None
TXA,MHL,HOP,None,None,None,None,None,None,None,None
TYR,HGD,ALT,None,None,None,None,None,None,None,None
UCA,ROM,AMS,None,None,None,None,None,None,None,None
VAC,BEL,None,None,None,None,None,None,None,None,None
VAN,PDX,BNG,KEL,None,None,None,None,None,None,None
VEC,OXN,CPN,None,None,None,None,None,None,None,None
VNC,BUR,CWT,None,None,None,None,None,None,None,None
VRV,SNB,BAR,None,None,None,None,None,None,None,None
WAB,ESX,MPR,None,None,None,None,None,None,None,None
WAC,BFD,CNL,None,None,None,None,None,None,None,None
WAH,HEM,KWD,None,None,None,None,None,None,None,None
WAR,SED,LEE,None,None,None,None,None,None,None,None
WAS,ALX,NCR,RKV,None,None,None,None,None,None,None
